Acc_X0;Acc_Y0;Acc_Z0;Gy_X0;Gy_Y0;De_Y0;De_Y0K;Gyro_Z0;De_Z0;De_Z0K;Yaw;Yaw_k;Pitch;Pitch_K;Acc_X1;Acc_Y1;Acc_Z1;Gy_X1;Gy_Y1;De_Y1;De_Y1K;Gyro_Z1;De_Z1;De_Z1K;Yaw1;Yaw1_k;Pitch1;Pitch1_K
-8,05;-3,51;-1,86;1855;907;63,74;36,68;-4060;-11,94;-3,86;-51,68;-51,6;11,73;11,77;-9,41;-1,03;-2,25;2275;-1291;75,27;68,98;-6595;-13,36;-14,76;-98,99;-99;-20,71;-20,82
-6,16;-4,8;-0,14;-6185;322;52,03;45,89;3740;-1,01;-2,24;67,4;67,4;2,8;2,8;-7,12;-2,84;-0,51;1186;3690;67,96;68,7;32767;-3,79;-11,52;501,96;335;55,34;34,18
-8,91;-1,48;-1,83;-289;2198;75,22;56,9;-3836;-11,44;-5,52;-48,26;-48,19;31,44;31,42;-9,74;0,58;-3,02;-2438;1419;72,48;69,63;-2844;-17,19;-11,71;-41,72;-41,48;20,66;20,67
-9,39;-2,42;-1,99;3253;1621;71,56;66,08;-1730;-11,6;-9,38;-16,11;-16,11;22,63;22,63;-10,69;-2,51;-1,59;4742;-92;74,44;70,54;-7711;-8,26;-11,29;-116,03;-95,32;-2,4;4,01
-7,99;-0,41;0,56;638;3825;85,04;73,43;-1614;3,98;-4,29;-14,34;-14,34;56,28;56,26;-13,35;-5,09;-0,89;-1610;-608;68,82;70,29;32767;-3,55;-10,43;501,96;501,59;-10,28;-10,27
-10,07;-0,35;-1,5;3886;-3081;81,3;78,43;1538;-8,47;-6,92;33,78;33,78;-49,16;-49,16;-9,96;-1,51;-3,86;863;319;67,4;69,89;-8382;-20,97;-10,69;-126,27;48,16;3,87;-0,06
-9,35;-4,47;-0,31;-98;-3845;64,39;72,9;9886;-1,73;-4,84;161,23;161,15;-60,82;-60,82;-8,49;-7,97;-2,84;2879;245;45,11;66,96;-15704;-13,72;-10,88;-238,06;-237,88;2,74;2,74
-7,26;-3,54;-2,54;1945;-12194;59,04;64,15;2101;-17,44;-12,47;42,38;42,38;-188,29;-188,29;-10,54;-3,3;-1,29;9305;3798;71,43;69,57;-11024;-6,65;-8,81;-166,61;-166,61;56,98;56,98
-8,73;-2,86;-1,86;2673;1083;68,65;65,42;-1398;-11,45;-11,97;-11,04;-11,01;14,41;14,29;-9,91;-1,72;-2,5;1998;96;72,98;70,97;-8175;-13,94;-11,12;-123,11;-123,14;0,47;0,5
-8,04;-2,39;-0,9;-1360;6062;72,4;67,46;4638;-6,12;-10,3;81,11;55,52;90,43;69,28;-8,23;-0,77;-1,37;-14851;-1209;79,19;73,17;27677;-9,41;-10,58;424,25;272,17;-19,46;-13,91
-7,15;-4,2;-1,32;-3420;3073;58,4;65,7;-6616;-9,02;-9,85;-90,71;-90,62;44,8;44,81;-9,77;0,07;-0,8;-735;-151;85,3;75,71;-3781;-4,68;-8,46;-56,03;-55,82;-3,31;-3,31
-8,69;-3,26;-1,04;4680;3423;68,51;66,36;398;-6,42;-9,43;16,38;-13,35;50,14;48,66;-11,14;-3,62;-1,4;3600;-907;70,8;72,76;-12067;-6,82;-7,57;-182,53;-182,53;-14,85;-14,85
-12,36;4,74;0,77;-1431;10097;68,79;66,89;-6281;3,32;-7,53;-85,59;-85,55;152,03;151,97;-15,24;-3,33;-0,34;-9397;7944;77,6;74,54;18309;-1,25;-5,65;281,23;280,94;120,28;120,2
-8,3;-3;-2,35;-364;1541;65,37;66,25;-4783;-14,9;-12,01;-62,72;-62,72;21,41;21,41;-9,72;-1,25;-2,59;1921;-127;73,51;74,51;-2957;-14,83;-7,6;-43,45;46,68;-2,94;31,27
-8,14;-1,69;-0,87;1121;-17405;76,84;70,23;8560;-5,99;-9,93;140,99;140,86;-267,85;-267,66;-10,18;-4,74;-3,92;2859;-518;58,84;71,24;-16014;-19,26;-9,96;-242,79;-242,61;-8,91;-8,88
-8,98;-0,76;0,52;-8005;-5106;84,17;73,38;-572;3,29;-6,06;1,57;40,27;-80,07;-132,19;-9,14;-1,21;1,68;-10868;-2677;77,26;74,83;-13484;10,31;1,79;-204,16;-204,16;-41,87;-41,87
-8,44;-3;-1,54;3383;805;68,24;71,87;-3835;-9,74;-6,72;-48,25;-48,19;10,17;10,08;-10,17;-1,55;-1,53;1630;2317;77,89;75,88;-4236;-8,47;-2,57;-62,97;-63,06;34,37;34,33
-12,08;-5,25;-2,23;-5121;1185;64,74;70,65;11529;-9,61;-7,17;186,32;121,16;15,97;14,33;-1,13;0,1;-1,39;5463;-12639;39,04;65,74;390;-50,79;-15,85;7,65;-12;-193,96;-130,54
