Acc_X0;Acc_Y0;Acc_Z0;Gy_X0;Gy_Y0;De_Y0;De_Y0K;Gyro_Z0;De_Z0;De_Z0K;Yaw;Yaw_k;Pitch;Pitch_K;Acc_X1;Acc_Y1;Acc_Z1;Gy_X1;Gy_Y1;De_Y1;De_Y1K;Gyro_Z1;De_Z1;De_Z1K;Yaw1;Yaw1_k;Pitch1;Pitch1_K
-9,27;0,16;-0,01;542;307;88,99;88,43;-714;-0,08;-1,05;-0,6;-0,5;2,57;0,54;-9,65;1,47;-1,8;591;216;76,48;77,42;-61;-10,43;-10,19;0,77;-0,12;2,3;-0,21
-9,21;-0,04;-0,23;391;140;88,56;88,43;-740;-1,42;-1,05;-1;-0,65;0,02;0,39;-9,72;1,27;-1,81;247;128;77,21;77,43;-216;-10,43;-10,19;-1,6;-0,14;0,95;-0,2
-9,37;-0,1;-0,16;591;36;88,84;88,43;-770;-0,97;-1,06;-1,46;-0,83;-1,57;-0,06;-9,77;1,21;-1,85;804;-63;77,24;77,42;-126;-10,65;-10,19;-0,22;-0,14;-1,96;-0,21
-9,23;0,16;-0,04;534;148;89;88,43;-574;-0,28;-1,05;1,54;-0,39;0,14;-0,02;-9,76;1,32;-1,74;598;41;77,38;77,42;-103;-10,02;-10,19;0,13;-0,13;-0,37;-0,22
-9,1;-0,03;-0,07;73;180;89,51;88,44;-729;-0,44;-1,05;-0,83;-0,46;0,63;0,08;-9,75;1,2;-1,61;-19;64;78,34;77,42;-78;-9,32;-10,19;0,51;-0,13;-0,02;-0,21
-9,21;0,13;-0,06;537;112;89,13;88,44;-732;-0,38;-1,06;-0,88;-0,52;-0,41;0,02;-9,74;1,32;-1,88;-85;-77;76,72;77,41;-126;-10,85;-10,19;-0,22;-0,13;-2,18;-0,23
-9,24;0,06;-0,28;124;336;88,23;88,45;-460;-1,73;-1,05;3,28;-0,05;3,01;0,38;-9,85;1,38;-1,96;337;-125;76,3;77,4;-249;-11,16;-10,2;-2,1;-0,15;-2,91;-0,26
-9,13;0,31;0,1;1182;-4;87,94;88,44;-356;0,6;-1,04;4,86;3,06;-2,18;-1,24;-9,61;1,04;-1,38;747;-160;79,81;77,39;-165;-8,1;-10,2;-0,82;-0,15;-3,44;-0,29
-9,15;0,22;-0,21;217;179;88,06;88,44;-607;-1,34;-1,03;1,03;2,27;0,61;-0,52;-9,75;1,25;-1,53;-83;-12;78,54;77,39;-25;-8,87;-10,19;1,32;-0,14;-1,18;-0,29
-9,13;0,2;-0,1;814;223;88,61;88,45;-746;-0,65;-1,03;-1,09;1,33;1,28;-0,02;-9,67;1,24;-1,51;298;234;78,59;77,4;-111;-8,78;-10,19;0,01;-0,13;2,57;-0,26
-9,17;0,33;-0,34;424;221;87,05;88,45;-761;-2,1;-1,04;-1,32;0,75;1,25;0,26;-9,7;1,49;-1,9;233;101;76,01;77,4;-152;-10,96;-10,2;-0,62;-0,14;0,54;-0,26
-9,18;0,26;-0,06;538;80;88,33;88,44;-735;-0,4;-1,04;-0,92;0,45;-0,9;0,05;-9,74;1,37;-1,83;56;100;76,79;77,4;-47;-10,55;-10,19;0,98;-0,13;0,53;-0,25
-9,23;0,43;-0,37;488;134;86,48;88,44;-617;-2,28;-1,04;0,88;0,52;-0,07;0,03;-9,73;1,56;-1,85;300;26;76,02;77,39;-94;-10,63;-10,19;0,26;-0,12;-0,6;-0,25
-9,15;0,19;-0,14;633;222;88,5;88,44;-764;-0,91;-1,04;-1,36;0,27;1,27;0,2;-9,64;1,4;-1,86;205;91;76,42;77,39;-113;-10,82;-10,19;-0,03;-0,12;0,39;-0,25
-9,18;0,12;-0,15;377;225;88,79;88,45;-750;-0,93;-1,04;-1,15;0,1;1,32;0,33;-9,75;1,36;-1,76;49;51;77,17;77,39;-161;-10,12;-10,2;-0,76;-0,13;-0,22;-0,25
-9,23;0,1;-0,25;52;384;88,35;88,46;-622;-1,52;-1,04;0,8;0,18;3,74;0,68;-9,67;1,41;-1,81;194;-74;76,65;77,38;-211;-10,48;-10,2;-1,52;-0,14;-2,13;-0,27
-9,26;0,05;-0,52;13;487;86,79;88,48;-535;-3,19;-1,04;2,13;0,36;5,32;1,12;-9,77;1,46;-1,81;143;-177;76,64;77,37;-311;-10,37;-10,21;-3,05;-0,17;-3,7;-0,3
-9,18;0,13;-0,34;562;-3;87,73;88,47;-727;-2,11;-1,04;-0,8;0,26;-2,17;0,83;-9,69;1,33;-1,76;158;85;77,16;77,37;-61;-10,23;-10,21;0,77;-0,16;0,3;-0,29
-9,18;0,13;-0,05;574;44;89,11;88,47;-665;-0,31;-1,04;0,15;0,25;-1,45;0,65;-9,73;1,32;-1,74;282;38;77,36;77,37;-14;-10,03;-10,21;1,49;-0,14;-0,42;-0,3
-9,21;0,17;-0,23;631;-4;88,21;88,46;-709;-1,45;-1,04;-0,52;0,19;-2,18;0,44;-9,66;1,33;-1,9;378;39;76,5;77,36;-105;-11,01;-10,21;0,1;-0,14;-0,4;-0,3
-9,26;0,23;-0,14;727;-112;88,34;88,44;-698;-0,87;-1,04;-0,36;0,15;-3,83;0,14;-9,78;1,35;-1,83;437;52;76,89;77,36;-82;-10,51;-10,21;0,45;-0,14;-0,21;-0,3
-9,23;0,14;-0,25;29;216;88,22;88,45;-679;-1,57;-1,05;-0,07;0,14;1,18;0,21;-9,77;1,41;-1,78;282;-6;76,91;77,36;-142;-10,2;-10,21;-0,47;-0,14;-1,09;-0,31
-9,24;0,16;-0,01;143;-137;88,98;88,43;-768;-0,04;-1,05;-1,43;0,04;-4,21;-0,07;-9,75;1,3;-1,9;225;30;76,73;77,35;-135;-10,93;-10,21;-0,36;-0,14;-0,54;-0,31
-9,24;0,31;-0,19;494;-6;87,75;88,43;-744;-1,18;-1,05;-1,06;-0,65;-2,21;-1,41;-9,8;1,36;-1,87;454;49;76,7;77,35;-119;-10,71;-10,21;-0,12;-0,14;-0,25;-0,31
-9,11;0,17;-0,08;336;63;88,79;88,42;-732;-0,5;-1,05;-0,88;-0,8;-1,16;-1,24;-9,63;1,31;-1,75;149;149;77,18;77,36;-74;-10,23;-10,21;0,57;-0,13;1,27;-0,29
-9,16;0,2;0,01;871;-125;88,74;88,42;-903;0,05;-1,06;-3,49;-2,67;-4,03;-3,18;-9,71;1,29;-1,59;169;346;78,08;77,37;-40;-9,23;-10,2;1,09;-0,12;4,28;-0,24
-9,23;0,18;-0,08;701;78;88,8;88,41;-599;-0,48;-1,06;1,15;-0,01;-0,93;-1,61;-9,78;1,4;-1,79;402;108;76,92;77,37;-159;-10,28;-10,21;-0,73;-0,13;0,65;-0,23
-9,14;0,09;-0,11;139;-14;89,1;88,4;-739;-0,71;-1,06;-0,98;-0,41;-2,33;-1,91;-9,76;1,35;-1,79;308;89;77,05;77,37;-103;-10,3;-10,21;0,13;-0,12;0,36;-0,23
-9,21;0,04;-0,17;269;59;88,91;88,4;-620;-1,07;-1,06;0,83;-0,04;-1,22;-1,71;-9,72;1,43;-1,8;46;-113;76,69;77,36;-177;-10,37;-10,21;-1;-0,13;-2,73;-0,25
-9,27;-0,04;-0,02;-682;530;89,76;88,41;-580;-0,1;-1,05;1,45;0,29;5,97;0,04;-9,79;1,44;-1,79;400;51;76,83;77,36;-131;-10,23;-10,21;-0,3;-0,14;-0,22;-0,25
-9,22;0,1;-0,06;533;135;89,3;88,42;-753;-0,36;-1,05;-1,2;-0,67;-0,06;-0,02;-9,74;1,26;-1,52;628;164;78,51;77,37;-87;-8,81;-10,21;0,37;-0,13;1,5;-0,24
-9,16;0,03;-0,04;348;232;89,68;88,42;-694;-0,25;-1,06;-0,3;-0,41;1,42;0,98;-9,68;1,07;-1,52;-45;60;79,15;77,37;-153;-8,84;-10,21;-0,64;-0,13;-0,08;-0,23
-9,2;0,15;0,03;164;175;89,03;88,43;-417;0,18;-1,05;3,93;2,61;0,55;0,68;-9,78;1,26;-1,36;-1080;-99;79,27;77,37;-364;-7,85;-10,22;-3,86;-0,17;-2,51;-0,25
-9,14;0,2;0;285;123;88,77;88,43;-623;-0,01;-1,04;0,79;1,34;-0,24;0,04;-9,74;1,3;-1,55;274;109;78,28;77,37;-54;-8,97;-10,21;0,88;-0,16;0,66;-0,25
-9,22;0,27;-0,33;532;299;87,35;88,43;-494;-2,07;-1,03;2,76;1,92;2,44;1,03;-9,75;1,41;-2,02;227;-83;75,82;77,36;-214;-11,6;-10,22;-1,57;-0,17;-2,27;-0,27
-9,19;-0,02;-0,12;220;138;89,22;88,43;-596;-0,77;-1,03;1,2;1,71;-0,01;0,72;-9,7;1,23;-1,69;347;67;77,84;77,36;-113;-9,83;-10,22;-0,03;-0,17;0,02;-0,26
-9,26;0,09;-0,09;312;42;89,23;88,43;-682;-0,56;-1,02;-0,11;1,3;-1,48;0,22;-9,69;1,44;-1,96;385;21;75,91;77,35;-78;-11,3;-10,22;0,51;-0,16;-0,68;-0,27
-9,35;0,06;-0,21;371;194;88,67;88,43;-695;-1,28;-1,02;-0,31;1;0,84;0,34;-9,71;1,47;-1,66;229;9;77,17;77,35;-147;-9,58;-10,22;-0,54;-0,17;-0,86;-0,27
