Acc_X0,Acc_Y0,Acc_Z0,Gy_X0,Gy_Y0,De_Y0,De_Y0K,Gyro_Z0,De_Z0,De_Z0K,Yaw,Yaw_k,Pitch,Pitch_K,Acc_X1,Acc_Y1,Acc_Z1,Gy_X1,Gy_Y1,De_Y1,De_Y1K,Gyro_Z1,De_Z1,De_Z1K,Yaw1,Yaw1_k,Pitch1,Pitch1_K
-8.83,-0.08,-0.32,5761,5846,87.83,81.01,-5699,-2.11,-1.05,-76.71,-83.77,87.13,90.34,-9.55,1.36,-0.79,1861,1286,80.62,79.18,-3695,-4.7,-3.51,-54.71,-54.71,18.63,18.63
-8.96,1.87,-0.86,2870,2432,77.05,80.45,-4308,-5.39,-2.24,-55.47,-55.49,35.01,35.04,-9.94,0.38,-1.12,28,75,83.22,80.78,-6043,-6.41,-4.76,-90.56,-90.54,0.15,0.16
-8.96,1.01,-1.25,2931,2378,79.84,80.46,-4909,-7.89,-3.42,-64.65,-62.1,34.19,34.42,-9.94,-0.36,-1.14,1789,461,83.13,81.44,-7697,-6.55,-5.54,-115.81,-108.79,6.04,4.4
-9.72,0.38,-0.83,3124,203,84.61,81.13,-3183,-4.91,-3.81,-38.3,-52.11,0.98,20.38,-10.64,-1.31,-0.73,1234,-36,81.98,81.57,-11346,-3.87,-5.51,-171.52,-171.48,-1.55,-1.55
-10.13,4.39,-1.16,731,587,65.84,79.2,987,-5.98,-4.2,25.37,-0.29,6.84,11.32,-12.35,0.76,0.08,2381,4870,86.47,82.51,-16594,0.38,-5.1,-251.64,-229.37,73.35,52.54
-10.58,-1.06,-0.03,4031,-10873,84.27,79.83,11253,-0.16,-3.73,182.1,181.99,-168.12,-168.01,-12.75,-2.18,-3.07,9347,8230,73.53,81.32,-19704,-13.35,-7.13,-299.12,-299.08,124.65,124.6
-10.75,1.98,-1.17,205,-7963,77.93,79.07,10769,-6.09,-3.33,174.71,176.73,-123.69,-136.0,-3.38,-1.66,-1.95,3461,-2845,52.87,64.77,5081,-27.34,-19.53,79.27,79.27,-44.44,-44.44
-8.09,-0.29,0.53,-11601,419,85.78,79.22,10081,3.71,-2.02,164.21,164.22,4.28,4.19,-6.08,-5.09,0.25,-6455,-2517,50.01,50.02,29335,1.78,1.76,449.56,449.56,-39.43,-39.43
-6.57,0.67,0.62,-2781,700,82.05,80.87,-1524,5.39,2.55,-12.97,-12.97,8.57,8.57,-11.04,-6.49,-1.84,-5051,958,58.56,55.91,32767,-8.16,-4.59,501.96,501.96,13.63,13.63
-7.68,5.08,3.15,-1424,1772,52.09,70.32,-6357,18.9,8.52,-86.75,-86.71,24.93,24.92,-12.66,-0.94,0.37,9907,6184,85.42,68.05,22616,1.69,-0.83,346.98,347.08,93.41,93.36
-8.66,0.45,2.07,-748,2487,76.28,74.06,-2510,13.41,11.43,-28.02,-28.02,35.85,35.85,-9.68,8.99,-3.93,-4486,2530,44.62,53.47,-7042,-16.57,-10.2,-105.81,-105.81,37.63,37.63
-6.16,-3.88,0.77,177,-1891,57.26,67.7,-3619,6.03,9.29,-44.95,-44.94,-30.99,-30.95,-8.1,-1.11,-3.18,-15372,18,67.44,58.96,-12675,-21.22,-14.72,-191.81,-191.76,-0.73,-0.7
-8.63,-0.17,-0.84,1061,3622,84.35,78.05,-7062,-5.54,-0.04,-97.52,-97.52,53.18,53.18,-9.78,1.87,-1.29,-6353,1234,76.92,70.19,-5588,-7.36,-10.41,-83.61,-83.61,17.84,17.84
-8.91,0.01,-0.58,6080,4249,86.26,81.34,-4364,-3.74,-1.71,-56.33,-56.35,62.75,62.74,-9.69,0.32,-2.0,2885,953,78.17,73.3,-5777,-11.68,-11.1,-86.5,-86.5,13.55,13.55
-8.83,1.32,-0.98,1795,2195,79.44,80.97,-4170,-6.29,-3.14,-53.36,-54.19,31.39,40.1,-9.79,-0.89,-1.03,1823,-76,82.06,75.77,-7307,-6.0,-9.95,-109.86,-103.37,-2.16,2.21
-9.15,-0.21,-1.34,2522,1754,81.54,81.22,-5078,-8.35,-4.45,-67.23,-67.22,24.66,24.67,-9.94,-1.94,-1.7,2602,-408,75.46,75.71,-7591,-9.53,-10.18,-114.19,-114.19,-7.23,-7.22
-9.55,1.18,-0.84,4810,310,81.36,81.31,-4178,-4.97,-4.75,-53.49,-57.3,2.61,8.74,-10.52,-0.93,-0.5,1975,-290,84.28,77.22,-9827,-2.71,-9.25,-148.33,-138.84,-5.43,-5.92
-10.98,4.28,-0.34,1609,-713,68.64,79.4,2354,-1.64,-4.47,46.24,46.17,-13.01,-12.99,-13.39,1.26,-0.33,2833,4861,84.43,78.3,-16496,-1.43,-8.53,-250.15,-250.08,73.21,73.16
-11.35,-0.21,-1.17,1578,-11285,84.01,82.1,11559,-5.89,-5.23,186.77,186.77,-174.41,-174.41,-11.25,-3.74,-2.63,6863,-3503,67.87,72.28,-16824,-12.53,-11.29,-255.15,-255.15,-54.48,-54.48
-10.12,0.78,-0.81,-3125,-6721,83.68,82.24,12105,-4.55,-4.51,195.11,195.1,-104.73,-104.77,-1.74,-2.89,0.05,3380,-3479,31.04,56.84,13416,0.89,-7.41,206.52,206.24,-54.11,-54.11
-7.22,-0.86,0.39,-10747,616,82.58,82.12,7565,3.08,-1.94,125.8,145.05,7.28,-23.85,-6.36,-6.15,-0.82,-4816,-3583,45.7,49.82,32767,-5.3,-5.79,501.96,501.96,-55.7,-55.7
-6.86,0.94,1.18,-5162,1372,77.58,81.07,-3195,9.7,1.0,-38.48,-38.36,18.83,18.8,-10.43,-7.07,-1.88,228,-1388,54.98,51.66,32767,-8.49,-5.59,501.96,501.96,-22.19,-22.21
-8.15,4.99,2.2,673,1740,56.2,66.21,-4678,12.97,8.11,-61.12,-61.12,24.44,24.44,-11.45,-1.8,-0.09,2975,9237,81.05,59.89,18074,-0.45,-2.89,277.64,339.96,140.02,94.95
-8.03,1.6,2.12,-1056,3677,71.73,68.34,-2183,14.48,10.35,-23.03,-23.05,54.02,54.0,-9.34,5.69,-2.44,-4198,-7800,56.46,59.44,-11599,-12.55,-3.93,-175.38,-175.06,-120.08,-119.95
-7.74,-3.22,0.28,-380,-1555,67.3,68.15,29,1.92,8.01,10.74,1.35,-25.86,-3.67,-9.07,-2.43,-1.71,-15090,2612,71.85,66.69,-13460,-10.35,-8.06,-203.8,-203.8,38.88,38.88
-8.46,0.18,-1.69,351,5221,78.64,70.39,-7017,-11.29,3.86,-96.83,-96.77,77.59,77.54,-10.12,2.88,-1.25,-3808,155,72.74,69.06,-5831,-6.79,-8.09,-87.32,-87.4,1.37,1.39
-9.01,0.1,-0.34,5754,4675,87.75,80.92,-4504,-2.15,0.1,-58.46,-58.46,69.25,69.25,-9.74,-0.57,-1.35,1701,969,81.44,72.45,-5090,-7.88,-8.28,-76.01,-79.17,13.79,10.35
-9.06,1.03,-0.77,1934,3509,81.92,81.47,-5315,-4.82,-1.89,-70.85,-70.84,51.45,51.46,-9.94,-0.74,-1.21,1648,-146,81.86,74.51,-5128,-6.95,-8.24,-76.59,-76.59,-3.23,-3.22
