Aceleracion_X0;Aceleracion_Y0;Aceleracion_Z0;Gyro_X0;Gyro_Y0;Gyro_Z0;Temperatura1;Aceleracion_X1;Aceleracion_Y1;Aceleracion_Z1;Gyro_X1;Gyro_Y1;Gyro_Z1;Temperatura1
-10,59;-4,68;-3,44;1,49;-0,02;0,87;23,09;-13,91;-8,75;-0,16;-0,45;0,36;-0,01;23,67
-7,49;-2,33;-4,54;-0,7;-0,08;0,71;23,04;-9,44;-1,72;-5;-0,23;-0,55;1,49;23,67
-6,95;-2,82;-1,18;-0,85;0,04;1,16;23,03;-14,86;1,64;-5,69;0,19;2,37;-4,96;23,64
-8,1;-1,73;-4,05;-0,8;0,02;0,61;23;-9,02;-0,61;-4,88;-0,43;-0,02;0,87;23,65
-7,33;-1,04;-2,65;0,61;0,24;-1,76;23;-1,42;3,69;-2,09;2,1;0,71;-3,72;23,64
-7,97;-1,84;-4,6;-0,29;-0,07;0,93;22,99;-9,29;-1,41;-5,23;-0,41;-0,35;0,71;23,63
-13,08;0,36;-4,04;0,91;-0,38;-2,39;23;-9,88;6,5;-6,87;-1,28;-0,12;1,72;23,62
-9,05;0,5;-3,13;-0,18;0,37;1,14;22,98;-10,14;3,77;-4,22;-1;-0,26;1,06;23,61
-9,73;-3,3;-5,28;0,2;-0,01;0,21;22,99;-12,84;-2,72;-3,85;-0,3;-0,51;2,05;23,61
-7,72;-12,15;-4,51;1,11;0,24;0,55;23;-9,25;2,92;-6,29;2,08;0,59;0,35;23,59
-7,64;-2,21;-4,59;-0,89;-0,05;0,65;22,99;-9,1;-2,32;-5,23;-0,53;-0,29;1,06;23,61
-4,6;1,93;-3,13;0,23;-0,11;-0,35;22,98;-7,03;2,94;-2,84;2,25;0,73;-5,7;23,59
-7,67;-2,04;-4,21;-0,59;0,22;0,63;22,98;-8,66;-2,48;-5,32;-0,5;0,05;0,84;23,59
-10,35;-0,12;-4,78;-0,21;0,03;-2,53;22,97;-3,38;4,93;-0,66;-0,58;0,19;-1,18;23,59
-8,51;-1,41;-4,34;-0,3;0,24;1;22,99;-9,17;-2,46;-4,36;-0,4;0;0,43;23,57
-9,16;-5,85;-2,79;0,79;-0,3;-1,4;22,97;-14,85;-7,22;-2,21;-1,81;-0,22;2,66;23,59
-12,71;-1,16;0,86;0,69;-0,05;0,47;22,96;-10,88;-3,55;-4,95;0,38;-0,87;0,67;23,56
