Acc_X0,Acc_Y0,Acc_Z0,Gy_X0,Gy_Y0,De_Y0,De_Y0K,Gyro_Z0,De_Z0,De_Z0K,Yaw,Yaw_k,Pitch,Pitch_K,Acc_X1,Acc_Y1,Acc_Z1,Gy_X1,Gy_Y1,De_Y1,De_Y1K,Gyro_Z1,De_Z1,De_Z1K,Yaw1,Yaw1_k,Pitch1,Pitch1_K
-11.17,2.49,1.34,4818,2992,75.78,72.44,-1694,6.7,10.51,-15.56,-15.56,43.56,43.56,-10.93,-1.44,0.11,-5043,-2679,82.49,77.57,-8968,0.56,-0.73,-135.22,-135.22,-41.9,-41.9
-8.88,0.72,-1.13,3096,4006,81.42,76.0,-5580,-7.24,3.65,-74.89,-74.85,59.04,59.03,-9.59,-0.14,-1.24,-47,1169,82.58,79.35,-3993,-7.37,-3.56,-59.26,-59.31,16.85,16.81
-9.57,0.68,-0.14,221,3051,85.86,82.25,-2379,-0.87,0.72,-26.02,-26.02,44.46,44.46,-10.17,-0.6,-1.78,199,383,79.53,79.44,-4425,-9.92,-5.48,-65.86,-64.04,4.85,8.17
-9.28,0.66,0.05,3390,3395,85.92,83.77,-2876,0.3,0.49,-33.61,-33.6,49.71,49.71,-9.81,-0.13,-1.22,1276,182,82.85,80.19,-3574,-7.1,-6.01,-52.86,-59.35,1.78,5.49
-9.41,0.79,-0.31,1984,3023,84.81,84.2,-3023,-1.91,-0.27,-35.85,-35.23,44.03,45.61,-10.13,-1.08,-1.49,1013,169,79.72,80.12,-3422,-8.31,-6.6,-50.54,-53.46,1.58,2.87
-9.06,0.83,-0.1,2206,2776,84.74,84.45,-3418,-0.63,-0.47,-41.88,-38.02,40.26,43.36,-9.94,-0.83,-1.41,1466,-344,80.64,80.19,-3965,-8.06,-7.01,-58.83,-55.62,-6.25,-0.79
-9.19,1.19,-0.91,3791,1409,80.73,83.91,-3395,-5.63,-1.52,-41.53,-40.37,19.39,27.33,-10.13,-0.78,-1.67,1536,-68,79.69,80.12,-5514,-9.34,-7.54,-82.48,-73.53,-2.04,-1.62
-9.21,0.57,-1.37,3596,919,80.87,83.54,-2320,-8.43,-2.71,-25.12,-25.13,11.91,11.92,-10.12,-2.38,-0.8,2327,-697,76.08,79.64,-8176,-4.38,-7.43,-123.12,-123.09,-11.64,-11.63
-10.48,1.24,-1.88,3201,1221,77.86,82.83,-1235,-10.12,-3.76,-8.55,-13.16,16.52,15.24,-11.36,-2.43,-0.66,813,2348,77.49,79.42,-9956,-3.27,-7.46,-150.3,-142.74,34.85,21.93
-9.42,-0.1,0.45,2491,-4989,87.21,83.4,2534,2.72,-3.05,48.99,48.95,-78.29,-78.23,-11.13,-1.68,-1.01,4804,-5109,80.0,79.56,-13305,-5.14,-7.76,-201.43,-201.39,-79.0,-78.94
-13.22,0.88,-1.08,-5885,-7808,83.98,83.14,8851,-4.68,-2.95,145.43,118.62,-121.33,-109.35,-8.58,-6.99,-2.74,420,-537,48.83,76.66,-12765,-13.89,-9.02,-193.19,-195.47,-9.2,-28.58
-9.52,0.28,0.71,-2067,-4232,85.38,82.96,7243,4.29,-1.82,120.88,120.88,-66.73,-66.76,-5.19,-3.76,-0.68,1412,-2371,53.62,74.68,7387,-6.05,-9.5,114.48,114.29,-37.2,-37.19
-8.18,0.04,1.64,-5709,-2352,78.68,82.37,6568,11.32,-0.23,110.57,113.44,-38.03,-46.01,-8.15,-4.39,0.0,-3682,78,61.67,67.12,23175,0.0,-3.83,355.52,355.52,0.19,0.19
-7.47,1.81,1.64,-3080,-2217,71.89,81.34,494,12.06,1.19,17.84,17.9,-35.97,-35.97,-10.15,-3.75,0.43,476,1544,69.61,68.03,27925,2.3,-0.68,428.04,427.99,22.57,22.56
-7.65,3.73,3.14,-1476,2699,57.48,67.52,-4310,20.24,12.2,-55.5,-55.5,39.09,39.09,-11.01,-3.82,0.74,155,1786,70.52,68.77,20520,3.63,1.63,314.98,346.38,26.27,25.24
-9.42,2.44,4.41,1740,1501,61.83,61.84,-930,24.39,24.38,-3.9,-3.9,20.8,20.8,-10.29,-3.39,-2.61,2853,2288,67.42,68.56,-10598,-13.56,-0.5,-160.1,-159.79,33.93,33.93
-9.2,1.69,0.86,1271,115,78.35,73.34,1858,5.27,11.09,38.67,38.67,-0.36,-0.36,-7.94,-0.67,-2.09,-11102,-1347,74.54,72.2,-13033,-14.71,-9.26,-197.28,-197.28,-21.56,-21.56
-9.33,1.34,-0.57,9068,3519,81.15,76.54,-7042,-3.44,5.22,-97.21,-97.13,51.61,51.57,-9.79,0.15,-0.24,1610,2394,88.34,78.2,-3917,-1.4,-6.81,-58.1,-58.19,35.55,35.51
-9.33,1.21,-1.39,-1352,4537,78.84,78.07,-5104,-8.39,-3.48,-67.62,-67.62,67.15,67.15,-9.89,0.21,-1.98,84,-1859,78.59,78.5,-2427,-11.34,-9.72,-35.35,-35.35,-29.38,-29.38
-9.1,0.67,-0.14,1950,3826,85.7,81.18,-2660,-0.86,-2.63,-30.31,-30.33,56.29,56.3,-9.76,0.39,-1.76,-141,340,79.53,78.82,-3628,-10.22,-10.0,-53.69,-53.68,4.19,4.17
-9.59,0.16,0.16,1159,3029,88.65,83.42,-3614,0.93,-1.74,-44.88,-40.83,44.12,47.51,-9.76,-0.91,-1.61,340,270,79.24,78.95,-3270,-9.35,-9.97,-48.22,-49.74,3.12,3.41
-9.2,0.93,-0.48,2845,1665,83.52,83.59,-2843,-2.99,-2.14,-33.1,-33.11,23.3,23.31,-9.96,-0.88,-0.89,1108,-237,82.82,79.79,-5725,-5.1,-9.13,-85.7,-64.84,-4.62,0.04
-9.45,0.55,-0.72,4849,962,84.52,83.82,-1809,-4.35,-2.63,-17.32,-21.71,12.57,15.55,-9.72,-1.54,-1.1,2395,206,79.0,79.65,-7875,-6.37,-8.9,-118.53,-100.75,2.15,1.45
-10.48,1.85,-1.1,3282,537,78.42,83.03,-700,-5.9,-3.16,-0.39,-12.76,6.08,11.57,-11.97,-1.19,-0.56,3109,1603,83.75,80.28,-9302,-2.68,-8.29,-140.32,-140.29,23.47,23.46
-9.2,1.03,0.65,2569,-5422,82.45,82.9,3902,4.0,-2.18,69.87,42.51,-84.9,-52.95,-11.97,-1.99,-0.18,4130,-1615,80.52,80.35,-14512,-0.83,-7.87,-219.86,-197.75,-25.66,-12.01
-9.79,0.27,-1.32,4441,-10985,82.15,82.62,9144,-7.69,-2.67,149.9,149.84,-169.83,-169.76,-8.83,-5.03,-2.64,2875,306,57.22,77.58,-14547,-14.57,-9.36,-220.39,-220.38,3.67,3.66
-9.51,0.44,0.05,-4629,-4859,87.32,82.6,8149,0.31,-1.84,134.71,138.91,-76.3,-102.27,-3.09,-1.29,1.26,3582,-2065,59.78,67.21,9069,20.6,7.74,140.16,140.16,-32.53,-32.53
-7.99,1.05,1.67,-9067,-989,76.14,81.61,5242,11.69,-0.03,90.33,90.36,-17.22,-17.27,-8.26,-4.58,0.2,-336,597,61.0,61.0,26068,1.22,1.23,399.68,399.68,8.11,8.11
-7.06,1.78,2.37,-4464,-726,67.24,73.26,-1033,18.03,10.58,-5.47,-5.47,-13.2,-13.2,-9.9,-4.16,-0.18,-392,649,67.16,65.29,25265,-0.97,0.19,387.43,387.43,8.91,8.91
-7.53,2.98,2.95,559,3842,60.89,68.68,-5583,20.0,14.03,-74.94,-74.89,56.54,56.49,-10.89,-2.06,-0.44,-166,2521,79.06,70.96,18639,-2.26,0.1,286.26,286.33,37.49,37.47
-9.55,3.77,4.1,485,1836,59.74,63.2,-1317,21.78,18.74,-9.81,-9.81,25.91,25.91,-10.14,-0.2,-2.9,-2026,3268,74.0,71.96,-9696,-15.96,-4.11,-146.33,-26.13,48.89,45.72
-10.6,3.74,2.38,-804,2501,67.3,64.84,989,11.98,16.12,25.4,25.38,36.06,36.06,-10.36,0.03,-0.37,-12904,-538,87.96,75.72,-9978,-2.04,-3.72,-150.64,-150.56,-9.21,-9.18
-8.77,-0.39,0.01,5777,5614,87.47,71.26,-5784,0.07,11.65,-78.01,-49.29,83.59,70.39,-10.59,-2.38,-0.82,6392,-4333,76.63,76.25,-5781,-4.3,-4.31,-86.56,-86.56,-67.15,-67.15
-9.23,1.05,-0.34,853,3979,83.19,74.08,-4854,-2.09,8.5,-63.81,-63.8,58.63,58.64,-9.49,-0.5,-2.26,-1730,2773,76.33,76.11,-3027,-13.35,-7.92,-44.51,-44.54,41.34,41.27
-9.19,0.58,0.22,2906,3941,86.11,81.39,-2835,1.39,4.14,-32.98,-32.98,58.05,58.05,-9.87,0.79,-2.24,1646,552,76.45,76.3,-3310,-12.76,-9.38,-48.83,-47.64,7.43,16.83
-8.81,0.97,-0.83,2994,3182,81.76,81.67,-2513,-5.32,0.5,-28.07,-28.07,46.46,46.47,-9.7,-1.05,-1.39,1697,275,79.84,77.11,-3596,-8.08,-9.25,-53.2,-53.2,3.2,3.21
-9.18,0.63,-0.36,1464,3005,85.5,82.85,-3492,-2.23,-0.34,-43.01,-38.86,43.76,44.51,-9.94,-0.63,-1.42,771,-74,81.13,77.83,-3215,-8.11,-9.22,-47.38,-49.0,-2.13,-0.65
-8.91,1.22,-0.85,2754,1889,80.53,82.46,-3242,-5.41,-1.55,-39.2,-39.0,26.72,37.04,-9.95,-0.9,-1.58,1016,-203,79.64,78.09,-4610,-8.99,-9.39,-68.68,-57.26,-4.1,-2.1
-9.07,0.31,-0.88,3493,1014,84.11,82.85,-2602,-5.57,-2.38,-29.43,-32.6,13.36,21.2,-9.97,-1.45,-1.49,1741,-539,78.23,78.1,-6537,-8.41,-9.5,-98.1,-84.58,-9.23,-6.87
-10.2,1.28,-0.89,4324,916,81.32,82.69,-2036,-4.96,-2.88,-20.78,-20.79,11.86,11.87,-10.7,-2.22,-0.99,2777,819,77.18,77.96,-7816,-5.19,-9.3,-117.63,-117.61,11.5,11.49
-10.83,1.68,-0.2,487,-1365,81.11,82.49,2940,-1.02,-2.63,55.19,34.08,-22.96,-13.28,-12.08,-1.44,-0.26,2990,-680,83.11,78.52,-12678,-1.22,-8.95,-191.86,-171.23,-11.38,-5.03
-8.47,-0.09,1.15,3770,-10450,82.26,82.42,6462,7.72,-1.3,108.96,108.91,-161.66,-161.57,-11.3,-3.15,-1.69,7616,-1401,72.45,77.92,-15717,-8.2,-9.49,-238.25,-238.21,-22.39,-22.38
-10.75,0.69,0.36,-3574,-7056,85.87,84.16,7955,1.9,0.75,131.75,131.75,-109.85,-109.85,-4.1,-5.23,-2.5,9733,-3513,35.26,74.08,-2294,-20.61,-11.13,-33.32,-90.25,-54.63,-45.68
-8.13,1.6,0.92,-8445,-385,77.22,81.32,7048,6.34,3.14,117.9,117.91,-8.0,-8.06,-7.39,-4.05,0.79,-2146,-895,60.78,72.83,22371,5.37,-10.11,343.24,342.97,-14.66,-14.68
-7.73,0.44,2.04,-9806,-542,74.89,79.57,3194,14.75,6.57,59.06,75.41,-10.39,-9.75,-10.13,-5.43,-0.15,-8747,1273,61.79,66.44,26408,-0.75,-4.13,404.88,404.88,18.44,18.44
-7.56,2.15,2.39,-1741,1491,66.99,76.86,-3248,16.92,9.01,-39.29,-39.22,20.64,20.62,-10.72,-4.89,-0.74,-1329,2098,65.24,66.05,24506,-3.59,-2.91,375.84,375.86,31.03,31.02
-8.61,4.03,3.54,-504,3858,58.08,65.65,-3512,20.44,15.79,-43.32,-43.32,56.78,56.78,-10.03,-0.02,-0.68,4537,8189,86.12,71.6,7756,-3.88,-2.28,120.11,191.16,124.02,98.19
-8.66,1.4,3.0,-968,1629,69.06,67.07,-1875,18.91,16.85,-18.33,-18.34,22.75,22.77,-10.1,4.57,0.57,-2348,-372,65.48,70.61,-4318,2.94,-0.57,-64.22,-64.06,-6.68,-6.61
-8.04,-0.78,1.54,3051,885,77.9,70.08,159,10.78,15.17,12.73,4.09,11.39,14.55,-9.42,-0.87,-1.28,-6107,-2067,80.65,72.32,-9918,-7.72,-2.11,-149.72,-125.92,-32.56,-25.35
-9.22,1.12,0.43,1104,4157,82.61,72.82,-4723,2.66,12.49,-61.81,-61.77,61.35,61.32,-10.09,0.41,-0.38,-154,1686,86.82,74.41,-4513,-2.16,-2.54,-67.2,-67.24,24.74,24.71
-9.48,1.16,-0.66,174,3354,81.98,78.41,-3017,-3.97,2.53,-35.76,-35.76,49.09,49.09,-10.01,-0.46,-2.08,1521,122,78.0,76.56,-3987,-11.7,-8.04,-59.17,-59.17,0.86,0.86
-9.04,0.12,0.39,3897,3270,87.45,81.92,-3567,2.44,2.41,-44.16,-44.15,47.8,47.8,-9.75,-1.14,-1.4,2203,55,79.54,77.67,-3393,-8.1,-8.22,-50.1,-50.11,-0.16,-0.16
-9.28,0.97,-0.28,1375,3552,83.77,82.57,-3715,-1.7,1.16,-46.42,-45.79,52.11,50.91,-10.0,-0.45,-1.54,638,93,80.87,78.54,-3486,-8.77,-8.51,-51.52,-51.13,0.42,0.26
-9.09,0.43,-0.53,2989,2482,85.73,83.38,-3477,-3.31,0.06,-42.78,-44.53,35.77,44.56,-9.74,-1.15,-1.56,1463,-370,78.75,78.57,-5100,-9.03,-8.83,-76.16,-61.64,-6.65,-2.64
-9.4,0.37,-1.07,4055,1288,83.11,83.46,-2892,-6.51,-1.24,-33.85,-37.39,17.54,26.49,-9.93,-1.44,-1.39,2217,-471,78.61,78.56,-7050,-7.89,-8.91,-105.93,-91.27,-8.19,-6.35
-9.32,1.69,-2.33,4710,1628,72.83,81.94,-1349,-13.81,-3.26,-10.3,-10.31,22.73,22.74,-11.15,-2.29,-1.18,2537,1581,76.98,78.3,-8861,-5.91,-8.77,-133.58,-133.56,23.14,23.12
-9.99,1.01,0.38,1755,-1651,83.84,83.1,2992,2.19,-0.07,55.98,55.98,-27.33,-27.33,-12.02,-2.11,-0.54,3665,-723,79.73,78.54,-14147,-2.55,-8.5,-214.28,-191.85,-12.04,-2.27
-9.03,0.01,-0.32,6954,-11214,87.97,84.84,6925,-2.03,-0.66,116.03,115.99,-173.33,-173.23,-10.6,-2.74,-2.87,7704,1470,69.5,77.48,-15335,-14.68,-9.89,-232.42,-232.4,21.44,21.43
-9.78,-0.39,0.05,-7456,-6738,87.68,85.16,7310,0.3,-0.05,121.9,120.26,-104.99,-123.95,-4.03,-1.42,-1.42,2068,-993,63.5,69.37,2112,-18.42,-15.25,33.94,33.94,-16.16,-16.16
-8.49,0.91,1.11,-7727,-305,80.43,83.76,7289,7.38,1.91,121.58,121.58,-6.78,-6.85,-7.9,-4.99,-0.73,-7863,-3533,57.45,64.93,20002,-4.43,-11.18,307.07,306.9,-54.94,-54.91
-7.84,0.23,2.4,-8381,-1043,72.89,81.81,2891,17.03,4.91,54.44,73.09,-18.04,-14.94,-9.75,-6.03,-1.24,-3699,-1024,57.73,60.37,26380,-6.17,-7.6,404.45,404.45,-16.63,-16.63
-7.31,1.95,1.65,-1452,780,70.76,80.09,-3119,12.3,6.27,-37.32,-37.25,9.79,9.77,-10.6,-3.99,-0.54,5905,1897,69.22,63.73,25891,-2.73,-4.73,396.98,396.99,27.96,27.93
-8.14,3.93,2.99,790,4249,58.75,67.55,-3075,18.31,13.3,-36.65,-36.65,62.75,62.75,-10.14,-0.61,-0.55,3383,7460,85.37,69.88,9391,-3.11,-3.34,145.07,215.06,112.89,89.29
-9.01,0.85,2.14,1622,3494,75.66,70.72,-1992,13.31,13.21,-20.11,-20.12,51.22,51.23,-11.33,5.82,0.66,-3324,-192,62.68,68.59,-4223,2.96,-1.29,-62.77,-62.6,-3.93,-3.87
-6.82,-2.61,1.67,3586,795,65.59,69.44,-3966,12.91,13.04,-50.25,-41.88,10.02,21.47,-8.8,-1.77,-2.27,-6280,2568,71.86,69.2,-7396,-14.2,-3.85,-111.22,-97.71,38.21,26.52
-10.03,1.76,0.71,503,2846,79.28,71.61,-4174,4.01,10.98,-53.43,-53.42,41.33,41.32,-9.94,1.58,-1.27,-5610,9282,78.47,70.71,-3847,-7.18,-4.69,-57.03,-57.06,140.71,140.64
