Acc_X0;Acc_Y0;Acc_Z0;Gy_X0;Gy_Y0;De_Y0;De_Y0K;Gyro_Z0;De_Z0;De_Z0K;Yaw;Yaw_k;Pitch;Pitch_K;Acc_X1;Acc_Y1;Acc_Z1;Gy_X1;Gy_Y1;De_Y1;De_Y1K;Gyro_Z1;De_Z1;De_Z1K;Yaw1;Yaw1_k;Pitch1;Pitch1_K
-9.19;0.12;0.67;425;174;85.75;85.59;-689;4.18;4.22;-0.22;-0.21;0.54;0.55;-9.95;-1.32;-0.26;315;31;82.30;82.60;-171;-1.46;-1.40;-0.91;-0.14;-0.53;-0.23;
-9.12;0.29;0.65;407;121;85.55;85.59;-708;4.06;4.22;-0.51;-0.42;-0.27;-0.02;-9.91;-1.24;-0.26;223;65;82.73;82.60;-137;-1.48;-1.40;-0.39;-0.15;-0.01;-0.23;
-9.15;0.21;0.57;387;107;86.17;85.60;-684;3.58;4.21;-0.14;-0.23;-0.49;-0.35;-9.91;-1.25;-0.26;274;68;82.63;82.60;-137;-1.48;-1.41;-0.39;-0.15;0.04;-0.23;
-9.16;0.23;0.64;458;132;85.73;85.60;-723;4.03;4.21;-0.74;-0.58;-0.10;-0.18;-9.84;-1.29;-0.25;284;38;82.40;82.60;-168;-1.46;-1.41;-0.86;-0.16;-0.42;-0.23;
-9.17;0.23;0.66;556;171;85.64;85.60;-734;4.12;4.20;-0.91;-0.81;0.49;0.29;-9.78;-1.28;-0.28;278;65;82.38;82.59;-105;-1.61;-1.41;0.10;-0.16;-0.01;-0.23;
-9.11;0.21;0.69;423;156;85.48;85.60;-718;4.33;4.20;-0.66;-0.71;0.26;0.27;-9.85;-1.27;-0.25;256;52;82.49;82.59;-119;-1.45;-1.41;-0.12;-0.16;-0.21;-0.23;
-9.10;0.12;0.62;428;185;86.03;85.61;-724;3.89;4.19;-0.75;-0.74;0.70;0.57;-9.93;-1.44;-0.29;270;43;81.59;82.58;-152;-1.65;-1.42;-0.62;-0.16;-0.34;-0.23;
-9.17;0.17;0.55;450;151;86.42;85.62;-710;3.43;4.18;-0.54;-0.60;0.19;0.30;-9.81;-1.27;-0.22;237;48;82.49;82.57;-153;-1.30;-1.42;-0.64;-0.17;-0.27;-0.23;
-9.23;0.15;0.57;566;149;86.33;85.63;-697;3.55;4.17;-0.34;-0.42;0.15;0.20;-9.90;-1.31;-0.26;279;55;82.35;82.57;-189;-1.48;-1.42;-1.19;-0.19;-0.16;-0.23;
-9.17;0.13;0.59;360;166;86.24;85.64;-700;3.66;4.16;-0.39;-0.40;0.41;0.35;-9.84;-1.32;-0.32;196;56;82.12;82.56;-159;-1.85;-1.43;-0.73;-0.19;-0.15;-0.23;
-9.17;0.13;0.68;399;177;85.66;85.64;-682;4.26;4.16;-0.11;-0.20;0.58;0.51;-9.90;-1.37;-0.22;256;64;82.00;82.56;-128;-1.26;-1.43;-0.25;-0.19;-0.02;-0.23;
-9.17;0.10;0.59;644;162;86.26;85.65;-707;3.69;4.16;-0.49;-0.40;0.35;0.40;-9.91;-1.31;-0.21;412;78;82.34;82.55;-74;-1.22;-1.42;0.57;-0.18;0.19;-0.22;
-9.24;0.36;0.66;581;241;85.35;85.65;-672;4.09;4.15;0.04;-0.09;1.56;1.21;-9.89;-1.18;-0.21;277;60;83.08;82.56;-169;-1.22;-1.42;-0.88;-0.19;-0.08;-0.22;
-9.21;0.10;0.53;176;241;86.68;85.67;-766;3.26;4.14;-1.39;-1.00;1.56;1.45;-9.88;-1.29;-0.31;83;68;82.34;82.56;-223;-1.76;-1.43;-1.70;-0.21;0.04;-0.21;
-9.21;0.06;0.47;401;198;87.09;85.69;-679;2.89;4.12;-0.07;-0.35;0.90;1.07;-9.90;-1.35;-0.25;268;58;82.09;82.55;-233;-1.44;-1.44;-1.86;-0.23;-0.11;-0.21;
-9.14;0.11;0.54;485;72;86.55;85.70;-634;3.38;4.11;0.62;0.33;-1.02;-0.39;-9.84;-1.40;-0.24;411;31;81.81;82.54;-238;-1.39;-1.44;-1.93;-0.25;-0.53;-0.22;
-9.13;0.13;0.58;440;250;86.28;85.71;-833;3.62;4.10;-2.42;-1.59;1.70;1.07;-9.87;-1.33;-0.24;390;23;82.19;82.53;-5;-1.37;-1.44;1.62;-0.23;-0.65;-0.22;
-9.14;0.13;0.65;376;98;85.87;85.71;-706;4.05;4.10;-0.48;-0.81;-0.62;-0.11;-9.85;-1.41;-0.22;316;51;81.75;82.52;-54;-1.27;-1.43;0.88;-0.22;-0.22;-0.22;
-9.13;0.07;0.54;502;93;86.59;85.72;-793;3.38;4.09;-1.81;-1.51;-0.70;-0.52;-9.93;-1.34;-0.29;227;65;82.15;82.52;20;-1.67;-1.43;2.01;-0.19;-0.01;-0.22;
-9.09;0.18;0.61;477;126;85.98;85.72;-753;3.85;4.08;-1.20;-1.29;-0.20;-0.29;-9.92;-1.31;-0.27;369;38;82.31;82.51;32;-1.56;-1.43;2.19;-0.16;-0.42;-0.22;
-9.17;0.13;0.62;368;137;86.07;85.73;-676;3.84;4.07;-0.02;-0.41;-0.03;-0.11;-9.85;-1.36;-0.19;314;9;82.09;82.51;-81;-1.07;-1.42;0.46;-0.15;-0.86;-0.23;
-9.15;0.18;0.51;330;159;86.64;85.74;-647;3.16;4.06;0.42;0.17;0.31;0.18;-9.89;-1.27;-0.23;277;-7;82.54;82.51;-116;-1.33;-1.42;-0.07;-0.15;-1.11;-0.24;
-9.21;0.14;0.69;250;164;85.66;85.74;-612;4.26;4.06;0.96;0.72;0.38;0.32;-9.91;-1.28;-0.22;225;59;82.52;82.50;-137;-1.25;-1.42;-0.39;-0.16;-0.10;-0.24;
-9.16;0.13;0.68;226;167;85.70;85.74;-663;4.22;4.07;0.18;0.34;0.43;0.40;-9.90;-1.19;-0.23;182;48;83.00;82.51;-155;-1.30;-1.42;-0.67;-0.16;-0.27;-0.24;
-9.26;0.10;0.59;352;126;86.27;85.75;-656;3.68;4.07;0.28;0.30;-0.20;-0.02;-9.98;-1.33;-0.18;194;139;82.32;82.51;-126;-1.01;-1.42;-0.22;-0.16;1.12;-0.22;
-9.24;0.17;0.58;362;115;86.24;85.75;-663;3.61;4.06;0.18;0.22;-0.36;-0.26;-9.91;-1.29;-0.29;315;43;82.42;82.51;-149;-1.64;-1.42;-0.57;-0.17;-0.34;-0.23;
-9.14;0.07;0.58;429;191;86.31;85.76;-689;3.66;4.06;-0.22;-0.09;0.80;0.48;-9.84;-1.48;-0.24;227;36;81.37;82.49;-172;-1.36;-1.43;-0.93;-0.18;-0.45;-0.23;
-9.15;0.09;0.59;258;195;86.24;85.76;-636;3.72;4.05;0.59;0.38;0.86;0.74;-9.90;-1.38;-0.16;280;9;82.01;82.49;-147;-0.90;-1.42;-0.54;-0.18;-0.86;-0.24;
-9.13;0.10;0.63;292;175;86.03;85.77;-666;3.92;4.05;0.13;0.21;0.55;0.61;-9.86;-1.43;-0.17;238;40;81.71;82.48;-127;-1.00;-1.42;-0.24;-0.18;-0.39;-0.24;
-9.18;0.11;0.61;423;203;86.16;85.78;-697;3.78;4.05;-0.34;-0.17;0.98;0.87;-9.89;-1.31;-0.19;233;65;82.39;82.47;-122;-1.07;-1.41;-0.16;-0.18;-0.01;-0.24;
-9.15;0.15;0.62;385;160;86.02;85.78;-651;3.87;4.05;0.36;0.20;0.32;0.49;-9.85;-1.40;-0.08;159;73;81.91;82.47;-137;-0.45;-1.41;-0.39;-0.18;0.11;-0.23;
-9.18;0.11;0.56;271;121;86.47;85.79;-635;3.47;4.04;0.61;0.48;-0.27;-0.04;-9.88;-1.34;-0.21;125;95;82.21;82.47;-176;-1.21;-1.41;-0.99;-0.19;0.45;-0.23;
-9.18;0.09;0.68;339;131;85.74;85.79;-694;4.23;4.05;-0.30;-0.06;-0.12;-0.10;-9.89;-1.35;-0.18;223;81;82.16;82.46;-110;-1.01;-1.40;0.02;-0.19;0.24;-0.22;
-9.19;0.12;0.58;556;137;86.33;85.79;-642;3.60;4.04;0.50;0.33;-0.03;-0.05;-9.87;-1.36;-0.14;303;76;82.11;82.46;-136;-0.78;-1.40;-0.38;-0.19;0.16;-0.22;
-9.15;0.13;0.58;410;164;86.29;85.80;-674;3.63;4.04;0.01;0.11;0.38;0.25;-9.89;-1.34;-0.31;262;61;82.11;82.46;-98;-1.77;-1.40;0.20;-0.19;-0.07;-0.22;
-9.20;0.05;0.49;331;99;86.92;85.81;-641;3.06;4.03;0.51;0.39;-0.61;-0.35;-9.89;-1.37;-0.19;327;95;82.03;82.45;-101;-1.10;-1.40;0.16;-0.18;0.45;-0.21;
-9.13;0.07;0.60;515;144;86.19;85.81;-678;3.79;4.03;-0.05;0.08;0.08;-0.05;-9.88;-1.35;-0.19;322;86;82.15;82.45;-112;-1.11;-1.40;-0.01;-0.18;0.31;-0.20;
-9.20;0.01;0.57;727;153;86.45;85.82;-609;3.55;4.03;1.00;0.72;0.22;0.14;-9.86;-1.45;-0.18;447;54;81.55;82.44;-31;-1.03;-1.39;1.23;-0.17;-0.18;-0.20;
-9.17;0.18;0.64;529;79;85.84;85.82;-652;4.01;4.03;0.35;0.46;-0.91;-0.60;-9.90;-1.32;-0.23;321;38;82.31;82.44;-48;-1.32;-1.39;0.97;-0.15;-0.42;-0.21;
-9.14;0.29;0.49;397;177;86.43;85.82;-749;3.08;4.02;-1.14;-0.65;0.58;0.23;-9.85;-1.31;-0.24;169;24;82.29;82.43;-79;-1.39;-1.39;0.49;-0.15;-0.63;-0.21;
-9.18;0.00;0.44;223;170;87.25;85.84;-650;2.75;4.01;0.38;0.06;0.48;0.40;-9.86;-1.40;-0.21;239;15;81.82;82.43;-92;-1.20;-1.38;0.30;-0.14;-0.77;-0.22;
-9.24;0.05;0.66;627;40;85.89;85.84;-717;4.10;4.01;-0.65;-0.43;-1.51;-0.93;-9.81;-1.38;-0.20;423;105;81.92;82.42;-35;-1.17;-1.38;1.17;-0.13;0.60;-0.21;
-9.17;0.09;0.63;499;107;86.05;85.84;-678;3.90;4.00;-0.05;-0.17;-0.49;-0.62;-9.86;-1.34;-0.24;403;136;82.15;82.42;-39;-1.40;-1.38;1.10;-0.12;1.08;-0.20;
-9.21;0.20;0.53;689;52;86.50;85.84;-706;3.28;4.00;-0.48;-0.38;-1.33;-1.11;-9.91;-1.27;-0.14;323;131;82.65;82.43;-60;-0.81;-1.37;0.78;-0.11;1.00;-0.19;
-9.17;0.05;0.51;733;86;86.83;85.85;-696;3.16;3.99;-0.33;-0.34;-0.81;-0.90;-9.90;-1.23;-0.22;409;72;82.82;82.43;-29;-1.25;-1.37;1.26;-0.10;0.10;-0.18;
-9.13;0.14;0.59;427;56;86.22;85.85;-649;3.68;3.98;0.39;0.17;-1.27;-1.15;-9.85;-1.40;-0.23;290;22;81.82;82.42;-124;-1.35;-1.37;-0.19;-0.10;-0.66;-0.19;
-9.23;0.07;0.59;359;216;86.29;85.85;-685;3.68;3.98;-0.16;-0.06;1.18;0.47;-9.83;-1.51;-0.26;161;37;81.13;82.41;-100;-1.51;-1.37;0.17;-0.10;-0.44;-0.19;
